,order_details_id,order_id,pizza_id,quantity
0,1,1,hawaiian_m,1
1,9,4,ital_supr_m,1
2,10,5,ital_supr_m,1
3,11,6,bbq_ckn_s,1
4,12,6,the_greek_s,1
5,14,8,spinach_supr_s,1
6,15,9,classic_dlx_s,1
7,16,9,green_garden_s,1
8,17,9,ital_cpcllo_l,1
9,18,9,ital_supr_l,1
10,19,9,ital_supr_s,1
11,20,9,mexicana_s,1
12,21,9,spicy_ital_l,1
13,22,9,spin_pesto_l,1
14,23,9,veggie_veg_s,1
15,24,10,mexicana_l,1
16,25,10,southw_ckn_l,1
17,30,12,cali_ckn_l,1
18,31,12,cali_ckn_s,1
19,32,12,ckn_pesto_l,1
20,33,12,ital_supr_m,1
21,53,18,napolitana_l,1
22,56,20,big_meat_s,1
23,57,20,five_cheese_l,1
24,58,21,ital_cpcllo_l,1
25,59,22,five_cheese_l,1
26,60,22,ital_cpcllo_m,1
27,61,22,southw_ckn_l,1
28,63,24,bbq_ckn_m,1
29,64,24,ital_cpcllo_m,1
30,65,24,pepperoni_m,1
31,66,24,prsc_argla_s,1
32,69,26,classic_dlx_s,1
33,70,26,veggie_veg_l,1
34,71,27,bbq_ckn_l,1
35,72,27,classic_dlx_m,1
36,73,27,spinach_fet_l,1
37,75,29,green_garden_s,1
38,77,31,mexicana_m,1
39,78,31,pepperoni_s,1
40,86,35,green_garden_m,1
41,87,35,pep_msh_pep_l,1
42,88,35,pepperoni_m,1
43,89,35,thai_ckn_l,1
44,90,36,bbq_ckn_m,1
45,91,36,classic_dlx_m,1
46,92,37,ital_supr_l,1
47,93,37,mexicana_l,1
48,94,38,hawaiian_s,1
49,95,38,ital_cpcllo_l,1
50,96,39,ital_supr_l,1
51,97,40,four_cheese_l,1
52,98,40,southw_ckn_s,1
53,99,41,four_cheese_m,1
54,100,41,green_garden_s,1
55,101,42,big_meat_s,1
56,102,42,five_cheese_l,1
57,103,42,mexicana_l,1
58,104,42,peppr_salami_m,1
59,112,46,ckn_pesto_l,1
60,113,46,classic_dlx_l,1
61,114,46,thai_ckn_m,1
62,123,51,bbq_ckn_l,1
63,124,51,pep_msh_pep_l,1
64,128,53,pep_msh_pep_s,1
65,129,53,spinach_supr_m,1
66,132,55,peppr_salami_s,1
67,133,55,spicy_ital_l,1
68,138,58,five_cheese_l,1
69,139,58,pepperoni_m,1
70,145,61,bbq_ckn_m,1
71,146,61,ital_supr_l,1
72,149,63,pep_msh_pep_m,1
73,151,65,pep_msh_pep_s,1
74,152,65,sicilian_s,1
75,153,65,spicy_ital_s,1
76,154,65,spinach_supr_m,1
77,155,66,classic_dlx_m,1
78,156,66,ital_cpcllo_m,1
79,157,67,southw_ckn_l,1
80,161,69,bbq_ckn_l,1
81,164,71,thai_ckn_l,1
82,165,72,spinach_fet_l,1
83,178,77,bbq_ckn_m,1
84,179,77,hawaiian_m,1
85,189,80,pepperoni_s,1
86,190,80,thai_ckn_m,1
87,197,84,pepperoni_l,1
88,198,85,classic_dlx_m,1
89,199,85,classic_dlx_s,1
90,200,85,ital_supr_l,1
91,201,85,the_greek_m,1
92,203,87,ital_cpcllo_m,1
93,204,87,mexicana_m,1
94,205,87,spinach_supr_l,1
95,206,87,spinach_supr_s,1
96,207,88,five_cheese_l,1
97,208,89,soppressata_l,1
98,209,89,thai_ckn_l,1
99,212,91,bbq_ckn_l,2
100,213,91,ckn_pesto_s,1
101,214,91,pepperoni_s,1
102,215,92,bbq_ckn_m,1
103,216,92,ital_supr_l,1
104,217,92,ital_supr_m,1
105,218,92,ital_veggie_s,1
106,219,92,pepperoni_m,1
107,220,92,peppr_salami_m,1
108,221,92,spinach_fet_s,1
109,222,92,spinach_supr_s,1
110,223,92,the_greek_m,2
111,224,93,sicilian_m,1
112,225,94,ital_cpcllo_m,1
113,226,94,southw_ckn_s,1
114,229,96,napolitana_s,1
115,234,100,hawaiian_l,1
116,235,101,cali_ckn_l,1
117,236,101,pepperoni_l,1
118,237,101,soppressata_l,1
119,238,101,spicy_ital_m,1
120,239,102,bbq_ckn_s,1
121,240,102,prsc_argla_s,1
122,242,104,bbq_ckn_m,1
123,243,104,ckn_alfredo_m,1
124,244,104,ital_veggie_m,1
125,245,104,veggie_veg_l,1
126,249,106,mexicana_l,1
127,250,106,spicy_ital_l,1
128,251,107,cali_ckn_l,1
129,252,107,ital_supr_m,1
130,253,107,spicy_ital_l,1
131,254,107,veggie_veg_l,1
132,270,112,pepperoni_s,1
133,274,114,pepperoni_l,1
134,275,114,sicilian_s,1
135,280,117,peppr_salami_m,1
136,281,117,sicilian_l,1
137,282,118,prsc_argla_l,1
138,283,118,spinach_fet_s,1
139,284,119,four_cheese_m,1
140,285,120,classic_dlx_s,1
141,286,120,hawaiian_s,1
142,287,120,spinach_fet_l,1
143,288,121,bbq_ckn_m,1
144,289,121,four_cheese_l,1
145,290,121,sicilian_l,1
146,291,121,southw_ckn_l,1
147,292,122,ital_supr_m,1
148,293,123,ital_cpcllo_s,1
149,294,124,bbq_ckn_s,1
150,295,124,sicilian_l,1
151,296,124,spicy_ital_l,1
152,297,124,the_greek_s,1
153,298,125,the_greek_xl,1
154,299,126,veggie_veg_l,1
155,300,127,pepperoni_m,1
156,301,128,spicy_ital_s,1
157,302,129,big_meat_s,1
158,303,129,the_greek_m,1
159,308,131,ckn_pesto_l,1
160,309,131,five_cheese_l,1
161,310,131,green_garden_s,1
162,311,131,spinach_supr_s,1
163,313,133,bbq_ckn_l,1
164,314,133,hawaiian_l,1
165,315,133,the_greek_s,1
166,316,134,big_meat_s,1
167,317,134,southw_ckn_l,1
168,318,134,spinach_supr_s,1
169,322,137,mediterraneo_l,1
170,323,137,pepperoni_s,1
171,324,137,spicy_ital_m,1
172,325,138,cali_ckn_m,1
173,326,138,four_cheese_l,1
174,327,138,ital_veggie_l,1
175,328,138,sicilian_m,1
176,329,139,five_cheese_l,1
177,330,140,prsc_argla_s,1
178,331,140,veggie_veg_m,1
179,355,146,cali_ckn_l,1
180,356,146,four_cheese_m,1
181,357,146,hawaiian_m,1
182,361,150,pepperoni_m,1
183,362,151,southw_ckn_l,1
184,363,151,spinach_supr_s,1
185,364,152,hawaiian_s,1
186,365,152,spinach_fet_l,1
187,366,152,thai_ckn_s,1
188,367,152,the_greek_m,1
189,369,154,prsc_argla_s,1
190,376,157,ital_supr_l,1
191,377,157,mediterraneo_m,1
192,378,157,sicilian_m,1
193,379,157,spin_pesto_m,1
194,380,158,ital_veggie_m,1
195,381,158,thai_ckn_m,1
196,392,164,cali_ckn_l,1
197,393,164,pepperoni_m,1
198,394,165,prsc_argla_m,1
199,401,169,four_cheese_l,1
200,402,169,ital_cpcllo_s,1
201,403,169,sicilian_m,1
202,405,171,napolitana_m,1
203,409,173,cali_ckn_m,1
204,410,173,classic_dlx_m,1
205,411,173,veggie_veg_l,1
206,417,176,cali_ckn_l,1
207,418,176,peppr_salami_m,1
208,421,178,peppr_salami_l,1
209,422,179,hawaiian_l,1
210,423,179,sicilian_m,1
211,424,179,veggie_veg_s,1
212,427,181,mexicana_l,1
213,430,183,napolitana_m,1
214,431,183,spin_pesto_l,1
215,432,183,spin_pesto_s,1
216,433,184,hawaiian_l,1
217,434,185,sicilian_m,1
218,435,185,spin_pesto_s,1
219,440,187,five_cheese_l,1
220,441,187,spin_pesto_l,1
221,442,188,five_cheese_l,1
222,443,188,pepperoni_s,1
223,444,188,peppr_salami_l,1
224,445,189,big_meat_s,2
225,446,189,thai_ckn_s,1
226,447,190,bbq_ckn_l,1
227,448,190,four_cheese_m,1
228,449,190,pep_msh_pep_s,1
